Element Name,Element Type,Element Path,Action,Value
SignInWithMicrosoft365Button,ID,login_button,Clicked on Sign in with Microsoft 365,
EmailInputField,ID,i0116,Clicked on input,
NextButton,ID,idSIButton9,Clicked on input,
Checkbox1,XPATH,"//*[@id="67b1c354b627305207967729-checkbox"]/span[1]/input[1]",Checkbox unchecked,off
Checkbox2,XPATH,"//*[@id="67b1bef2b627305207967706-checkbox"]/span[1]/input[1]",Checkbox unchecked,off
Checkbox3,XPATH,"//*[@id="67ae329cb6273052079672bf-checkbox"]/span[1]/input[1]",Checkbox unchecked,off
ActionButton,ID,call-Actions-btn,Clicked on Action,
ExportToExcelMenuItem,ID,exportExcel-menuitem,Clicked on Export to Excel,
ExportButton,ID,interactions-exportToExcel-export-btn,Clicked on export,
Link,XPATH,"//*[@id="root"]/a[1]",Clicked on a,
